experiment,dataset,top_1_acc_diff,top_1_acc_improvement,top_3_acc_diff,top_3_acc_improvement,top_5_acc_diff,top_5_acc_improvement,top_10_acc_diff,top_10_acc_improvement,top_15_acc_diff,top_15_acc_improvement
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.128,0.243,0.084,0.252,0.068,0.228,0.061,0.192,0.011,0.143
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.100,0.271,0.072,0.265,0.044,0.252,0.042,0.211,0.011,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.138,0.232,0.104,0.232,0.052,0.244,0.103,0.150,0.026,0.128
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.123,0.248,0.054,0.282,0.025,0.271,0.046,0.207,0.003,0.150
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.107,0.264,0.042,0.295,0.020,0.276,0.026,0.227,0.008,0.146
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.053,0.318,0.040,0.296,0.011,0.285,0.021,0.232,0.012,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.091,0.280,0.093,0.244,0.087,0.209,0.094,0.159,0.067,0.086
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.102,0.269,0.066,0.271,0.027,0.269,0.029,0.224,0.011,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_rag,0.043,0.328,0.089,0.248,0.096,0.200,0.068,0.185,0.028,0.126
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.002,0.369,0.090,0.246,0.081,0.215,0.085,0.168,0.047,0.107
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.068,0.303,0.060,0.277,0.039,0.257,0.033,0.220,0.011,0.143
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.106,0.265,0.066,0.270,0.030,0.266,0.038,0.215,0.008,0.146
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.079,0.292,0.050,0.287,0.018,0.278,0.025,0.229,0.011,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.089,0.282,0.065,0.272,0.018,0.278,0.031,0.222,0.014,0.140
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag,0.002,0.369,0.094,0.243,0.087,0.209,0.042,0.212,0.013,0.141
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.002,0.369,0.081,0.256,0.071,0.225,0.073,0.180,0.024,0.130
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.016,0.355,0.086,0.251,0.086,0.210,0.091,0.163,0.049,0.105
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_5,0.002,0.369,0.074,0.263,0.062,0.234,0.081,0.172,0.038,0.116
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_zero_shot,0.050,0.321,0.050,0.287,0.025,0.271,0.031,0.222,0.012,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_3,0.096,0.275,0.047,0.290,0.020,0.276,0.026,0.227,0.010,0.144
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_1,0.092,0.279,0.044,0.293,0.014,0.282,0.025,0.228,0.011,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_5,0.115,0.256,0.065,0.272,0.018,0.278,0.038,0.215,0.014,0.140
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag,0.016,0.355,0.069,0.267,0.042,0.254,0.023,0.230,0.012,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_3,0.058,0.312,0.075,0.262,0.070,0.226,0.051,0.202,0.012,0.142
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_1,0.016,0.355,0.084,0.253,0.086,0.210,0.064,0.189,0.015,0.138
gpt-3.5-turbo-0125_0.5_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_5,0.030,0.341,0.064,0.273,0.055,0.241,0.052,0.201,0.020,0.134
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_5,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_zero_shot,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_3,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_5,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_3,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_1,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_0.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag_few_shot_5,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.065,0.282,0.042,0.279,0.049,0.251,0.017,0.135,0.009,0.084
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.031,0.316,0.014,0.307,0.050,0.250,0.017,0.134,0.007,0.086
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.078,0.269,0.016,0.305,0.057,0.242,0.035,0.116,0.019,0.074
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.065,0.282,0.060,0.262,0.077,0.223,0.014,0.138,0.009,0.084
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.050,0.297,0.044,0.277,0.064,0.235,0.015,0.137,0.008,0.085
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.057,0.290,0.026,0.296,0.065,0.234,0.025,0.126,0.016,0.077
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.207,0.140,0.196,0.125,0.210,0.090,0.093,0.058,0.054,0.039
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.100,0.247,0.065,0.256,0.072,0.228,0.015,0.136,0.009,0.084
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag,0.249,0.098,0.191,0.130,0.168,0.131,0.043,0.108,0.025,0.068
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.352,-0.005,0.234,0.087,0.205,0.095,0.104,0.047,0.056,0.037
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.233,0.114,0.092,0.229,0.075,0.224,0.014,0.138,0.007,0.086
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.134,0.213,0.097,0.225,0.084,0.216,0.032,0.119,0.010,0.083
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.066,0.281,0.051,0.270,0.071,0.229,0.014,0.138,0.007,0.086
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.050,0.297,0.049,0.273,0.068,0.231,0.030,0.121,0.014,0.079
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag,0.352,-0.005,0.191,0.130,0.156,0.144,0.041,0.110,0.018,0.074
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.318,0.029,0.223,0.099,0.196,0.104,0.074,0.077,0.031,0.062
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.351,-0.004,0.224,0.097,0.214,0.085,0.102,0.049,0.051,0.042
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_5,0.386,-0.039,0.216,0.105,0.200,0.099,0.074,0.077,0.037,0.056
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_zero_shot,0.032,0.315,0.051,0.270,0.055,0.245,0.012,0.140,0.006,0.087
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_3,0.050,0.297,0.023,0.298,0.062,0.238,0.016,0.135,0.007,0.086
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_1,0.065,0.282,0.037,0.284,0.054,0.246,0.009,0.143,0.007,0.086
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_few_shot_5,0.058,0.289,0.023,0.298,0.057,0.243,0.023,0.129,0.010,0.083
gpt-3.5-turbo-0125_1.0_rag_few_shot_3,gpt-4-0125-preview_1.0_rag,0.309,0.038,0.121,0.200,0.084,0.216,0.032,0.119,0.014,0.079
