model_temperature,no_rag_0,no_rag_1,no_rag_3,no_rag_5,rag_0,rag_1,rag_3,rag_5
gpt-3.5-turbo-0125_0.0,0.507,0.545,0.618,0.693,0.509,0.513,0.513,0.522
gpt-3.5-turbo-0125_0.5,0.505,0.588,0.656,0.652,0.568,0.549,0.609,0.525
gpt-3.5-turbo-0125_1.0,0.505,0.667,0.669,0.708,0.610,0.623,0.568,0.600
gpt-3.5-turbo-0613_0.0,0.513,0.528,0.696,0.555,0.513,0.513,0.513,0.522
gpt-3.5-turbo-0613_0.5,0.621,0.669,0.608,0.720,0.567,0.549,0.566,0.529
gpt-3.5-turbo-0613_1.0,0.655,0.719,0.664,0.689,0.633,0.630,0.616,0.545
gpt-4-0125-preview_0.0,0.604,0.576,0.748,0.783,0.813,0.817,0.814,0.920
gpt-4-0125-preview_0.5,0.648,0.591,0.700,0.743,0.867,0.883,0.765,0.874
gpt-4-0125-preview_1.0,0.640,0.737,0.752,0.764,0.770,0.761,0.814,0.887
gpt-4-1106-preview_0.0,0.663,0.754,0.732,0.801,0.794,0.826,0.838,0.868
gpt-4-1106-preview_0.5,0.648,0.754,0.722,0.747,0.788,0.821,0.818,0.842
gpt-4-1106-preview_1.0,0.674,0.761,0.682,0.728,0.764,0.797,0.793,0.807
